期数,日期,红球,蓝球,销售额,奖池金额,一等奖中奖人数,一等奖中奖金额,二等奖中奖人数,二等奖中奖金额,三等奖中奖人数,三等奖中奖金额,四等奖中奖人数,四等奖中奖金额,五等奖中奖人数,五等奖中奖金额,六等奖中奖人数,六等奖中奖金额,中奖情况
2022091,2022-08-09(二),"08,18,20,22,24,28",10,335981918,1983706692,8,6721485,244,70552,2249,3000,85307,200,1436874,10,11518915,5,"北京2注,辽宁1注,江苏1注,江西1注,湖北1注,广东1注,四川1注,共8注。"
2022090,2022-08-07(日),"01,04,25,27,29,30",07,365943774,1985834009,7,5764881,98,68292,2272,3000,115279,200,1925031,10,20683900,5,"浙江1注,山东2注,广东1注,海南1注,甘肃1注,深圳1注,共7注。"
2022089,2022-08-04(四),"02,07,15,29,31,33",15,342434670,2006110048,3,10000000,90,244825,1383,3000,72813,200,1268826,10,9651202,5,"山东1注,广西1注,云南1注,共3注。"
2022088,2022-08-02(二),"03,09,15,17,20,22",06,340253450,1970007210,20,5577161,168,85887,1824,3000,87659,200,1489767,10,14221307,5,"辽宁1注,江苏3注,浙江2注,安徽2注,山东1注,河南3注,广东6注,四川1注,云南1注,共20注。"
2022087,2022-07-31(日),"05,06,09,13,23,25",08,370042706,2038263308,6,6065849,129,61967,2993,3000,192527,200,1940210,10,16491790,5,"河北1注,辽宁2注,上海1注,江苏1注,广东1注,共6注。"
2022086,2022-07-28(四),"01,04,08,21,23,24",11,345421240,2050676797,8,7234563,61,366321,1060,3000,55817,200,1082185,10,10941722,5,"辽宁1注,江苏1注,浙江2注,山东1注,湖南1注,广东1注,云南1注,共8注。"
2022085,2022-07-26(二),"07,09,14,31,32,33",13,341538762,2041516396,12,6387330,112,185803,1617,3000,72260,200,1308210,10,10345809,5,"北京1注,吉林1注,江苏2注,山东1注,河南2注,广东1注,西藏1注,甘肃1注,宁夏1注,深圳1注,共12注。"
2022084,2022-07-24(日),"03,18,23,24,25,32",09,368808592,2055734480,5,7928087,97,188665,1714,3000,83687,200,1487680,10,14151567,5,"内蒙古1注,山东1注,广东1注,四川2注,共5注。"
2022083,2022-07-21(四),"08,12,13,14,19,20",05,347550570,2040473284,13,6173323,258,73901,2307,3000,95612,200,1596261,10,10405546,5,"河北1注,浙江3注,安徽1注,江西1注,山东1注,河南2注,广西1注,贵州1注,云南1注,新疆1注,共13注。"
2022082,2022-07-19(二),"04,10,11,23,30,32",14,347371994,2063526963,3,10000000,79,316091,1036,3000,58000,200,1101679,10,8920542,5,"上海2注,福建1注,共3注。"
2022081,2022-07-17(日),"04,08,11,21,27,30",01,373064250,2018613381,5,9188488,186,140742,1212,3000,73822,200,1423594,10,9090587,5,"安徽2注,河南1注,广东1注,陕西1注,共5注。"
2022080,2022-07-14(四),"05,12,15,17,18,27",04,342797508,1986021667,9,6967330,129,171569,1380,3000,70955,200,1389619,10,9442743,5,"北京1注,黑龙江1注,江苏1注,浙江1注,江西1注,湖北1注,广东2注,新疆1注,共9注。"
2022079,2022-07-12(二),"01,09,15,17,22,23",16,341273762,1982330237,2,10000000,68,408297,867,3000,44720,200,941854,10,7040740,5,"黑龙江1注,江苏1注,共2注。"
2022078,2022-07-10(日),"01,04,05,15,17,31",09,366650644,1919037561,6,7387658,69,259528,1273,3000,71165,200,1337065,10,15321283,5,"山西1注,辽宁1注,安徽1注,云南3注,共6注。"
2022077,2022-07-07(四),"03,17,18,19,20,27",16,345118818,1909641199,14,6273517,186,119820,1697,3000,87777,200,1502359,10,8458404,5,"北京1注,山西1注,浙江5注,广东3注,广西1注,贵州1注,甘肃1注,深圳1注,共14注。"
2022076,2022-07-05(二),"08,09,10,13,24,29",02,342718328,1930610784,14,6399054,142,172418,1269,3000,63403,200,1300605,10,8100898,5,"河北1注,江苏11注,广东1注,深圳1注,共14注。"
2022075,2022-07-03(日),"01,02,04,25,26,30",10,379959636,1946747172,6,7912531,78,280051,1953,3000,84808,200,1487065,10,12222607,5,"上海1注,山东2注,河南1注,广东1注,广西1注,共6注。"
2022074,2022-06-30(四),"05,07,15,19,29,33",15,354915638,1928690407,6,8413181,131,195411,1494,3000,72058,200,1290175,10,7943571,5,"上海1注,江苏1注,安徽1注,山东2注,广东1注,共6注。"
2022073,2022-06-28(二),"06,10,14,15,26,29",12,352213628,1902372906,6,8211585,141,170828,1339,3000,63827,200,1272264,10,9346417,5,"河北1注,辽宁1注,河南1注,广西1注,陕西2注,共6注。"
2022072,2022-06-26(日),"05,14,15,16,18,32",12,385506202,1879381753,7,7505272,95,230748,1794,3000,91196,200,1612709,10,12293044,5,"北京1注,山西1注,上海1注,山东1注,重庆1注,广东1注,贵州1注,共7注。"
2022071,2022-06-23(四),"04,07,15,18,29,33",01,354289328,1866155263,8,7659663,141,188628,1086,3000,56078,200,1104773,10,8338782,5,"北京2注,辽宁1注,上海1注,福建1注,江西1注,广东1注,甘肃1注,共8注。"
2022070,2022-06-21(二),"04,06,09,27,28,33",02,356598990,1847642672,9,7137010,226,106377,1543,3000,80277,200,1524288,10,8528154,5,"上海1注,福建1注,河南3注,广东1注,广西1注,陕西1注,甘肃1注,共9注。"
2022069,2022-06-19(日),"06,07,13,19,26,29",08,380359658,1839751672,20,5516327,216,59760,3618,3000,131307,200,2035141,10,15455331,5,"浙江3注,福建1注,重庆1注,湖北2注,湖南3注,广东1注,广西4注,海南1注,四川1注,贵州1注,云南1注,陕西1注,共20注。"
2022068,2022-06-16(四),"07,12,15,24,26,29",06,354071622,1911353650,7,7414434,170,124272,1642,3000,84964,200,1545170,10,10323876,5,"江苏1注,浙江1注,福建1注,四川1注,贵州1注,云南2注,共7注。"
2022067,2022-06-14(二),"01,05,13,21,26,29",15,347891686,1899875782,10,6787147,147,151968,1793,3000,77179,200,1382962,10,9293026,5,"辽宁1注,浙江3注,山东1注,重庆1注,湖北1注,广东1注,贵州1注,云南1注,共10注。"
2022066,2022-06-12(日),"06,11,14,20,27,30",09,370987262,1900729226,33,5152928,281,22449,5252,3000,189472,200,1982256,10,16615513,5,"北京1注,山西1注,内蒙古1注,辽宁3注,黑龙江1注,江苏3注,浙江4注,安徽1注,福建4注,山东3注,河南2注,湖北2注,广东4注,广西2注,云南1注,共33注。"
2022065,2022-06-09(四),"09,14,18,23,28,31",02,348395414,2051850948,4,9202821,143,146951,1647,3000,72446,200,1290179,10,10865065,5,"天津1注,河北1注,安徽1注,山东1注,共4注。"
2022064,2022-06-07(二),"04,06,12,13,17,31",16,340689068,2025619908,12,6498426,81,277486,1028,3000,53195,200,1088210,10,10485387,5,"福建1注,山东1注,重庆1注,河南1注,广东5注,广西1注,云南2注,共12注。"
2022063,2022-06-05(日),"06,08,09,17,22,31",11,360023818,2036171824,20,5417818,181,57709,3978,3000,150479,200,2169039,10,14181934,5,"河北3注,山西1注,吉林1注,江苏2注,浙江1注,安徽3注,江西1注,山东1注,河南2注,四川2注,贵州1注,陕西2注,共20注。"
2022062,2022-06-02(四),"16,18,20,21,23,33",05,329515310,2113191829,5,8563331,69,322765,800,3000,46396,200,937229,10,10265544,5,"内蒙古1注,黑龙江1注,浙江1注,广西1注,深圳1注,共5注。"
2022061,2022-05-31(二),"01,03,16,18,29,33",06,331252342,2089196019,3,10000000,64,389348,846,3000,49647,200,959477,10,8115661,5,"浙江1注,山东1注,陕西1注,共3注。"
2022060,2022-05-29(日),"16,18,19,24,28,32",01,361140396,2044441141,3,10000000,80,370919,776,3000,49072,200,1084721,10,7054965,5,"浙江1注,福建1注,广东1注,共3注。"
2022059,2022-05-26(四),"06,09,18,19,29,33",06,340378840,1985420373,20,5714126,216,82653,2668,3000,96621,200,1480459,10,10648044,5,"河北1注,内蒙古1注,黑龙江1注,湖北3注,湖南5注,广东1注,云南1注,宁夏5注,深圳2注,共20注。"
2022058,2022-05-24(二),"06,13,14,23,31,33",01,336926030,2046143432,10,6841671,126,182705,999,3000,58846,200,1135454,10,9377883,5,"北京1注,河北1注,内蒙古1注,江苏2注,浙江1注,福建1注,四川2注,陕西1注,共10注。"
2022057,2022-05-22(日),"12,15,20,26,30,33",16,378857894,2045497453,3,10000000,78,304574,1169,3000,60895,200,1199929,10,12585559,5,"上海1注,安徽1注,贵州1注,共3注。"
2022056,2022-05-19(四),"01,06,11,14,17,26",15,352329270,2004226992,6,8799261,162,175891,857,3000,62469,200,1394516,10,5930706,5,"浙江1注,安徽1注,福建1注,山东1注,贵州1注,云南1注,共6注。"
2022055,2022-05-17(二),"02,04,09,26,28,33",03,350153658,1971539174,4,9562440,77,296262,953,3000,57092,200,1117611,10,10974593,5,"内蒙古1注,浙江2注,四川1注,共4注。"
2022054,2022-05-15(日),"08,12,21,27,28,33",11,391678014,1941352325,21,5000000,92,6000,4177,3000,149902,200,2207496,10,29180031,5,"辽宁1注,浙江2注,安徽2注,福建1注,山东1注,重庆1注,河南5注,湖南2注,海南1注,四川1注,云南3注,新疆1注,共21注。"
2022053,2022-05-12(四),"10,14,18,23,27,33",15,356510652,2046352325,4,10000000,81,366853,970,3000,46762,200,969144,10,6775188,5,"北京1注,浙江1注,江西1注,陕西1注,共4注。"
2022052,2022-05-10(二),"07,24,27,29,31,32",15,359187786,1997206997,4,10000000,61,467706,888,3000,47240,200,1022886,10,7908172,5,"河北1注,山西1注,云南1注,陕西1注,共4注。"
2022051,2022-05-08(日),"02,05,11,17,21,33",01,389679034,1951616776,5,9343551,114,238133,1235,3000,70906,200,1289816,10,10313916,5,"河北1注,辽宁1注,贵州1注,云南1注,深圳1注,共5注。"
