期号,时间,开奖号码,奖池奖金,销售额,一等奖人数,一等奖金额,二等奖人数,二等奖金额,三等奖人数,三等奖金额,四等奖人数,四等奖金额,五等奖人数,五等奖金额,六等奖人数,六等奖金额,七等奖人数,七等奖金额,八等奖人数,八等奖金额,九等奖人数,九等奖金额
23095,2023-08-19,08 19 28 32 34 03 07,"915,556,976.41","307,851,614",1,"10,000,000",75,"13,491,375",160,"1,600,000",727,"2,181,000","13,545","4,063,500","24,690","4,938,000","28,911","2,891,100","721,753","10,826,295","7,894,862","39,474,310"
23094,2023-08-16,12 19 22 28 32 08 12,"867,355,969.44","285,551,526",1,"10,000,000",102,"13,843,950",227,"2,270,000",744,"2,232,000","16,726","5,017,800","20,005","4,001,000","36,519","3,651,900","686,733","10,300,995","6,843,807","34,219,035"
23093,2023-08-14,11 14 17 19 21 01 05,"816,338,505.60","286,169,239",4,"31,912,376",81,"13,243,743",239,"2,390,000",653,"1,959,000","13,048","3,914,400","16,357","3,271,400","30,190","3,019,000","589,722","8,845,830","6,687,332","33,436,660"
23092,2023-08-12,03 16 21 26 32 03 12,"795,974,256.08","306,558,540",3,"30,000,000",126,"15,683,472",265,"2,650,000",656,"1,968,000","15,889","4,766,700","20,371","4,074,200","39,943","3,994,300","640,020","9,600,300","6,662,696","33,313,480"
23091,2023-08-09,06 16 18 28 29 07 11,"755,893,826.49","289,311,919",7,"45,173,520",164,"10,798,744",447,"4,470,000",946,"2,838,000","23,334","7,000,200","26,599","5,319,800","58,431","5,843,100","846,951","12,704,265","8,218,598","41,092,990"
23090,2023-08-07,08 11 12 19 35 11 12,"762,647,025.01","280,933,706",28,"167,815,368",199,"10,648,092",508,"5,080,000","2,059","6,177,000","22,294","6,688,200","33,380","6,676,000","50,615","5,061,500","733,454","11,001,810","6,678,993","33,394,965"
23089,2023-08-05,03 12 20 26 35 02 12,"904,845,173.55","306,682,199",4,"40,000,000",90,"14,757,750",289,"2,890,000",486,"1,458,000","12,958","3,887,400","16,948","3,389,600","40,344","4,034,400","567,365","8,510,475","6,438,225","32,191,125"
23088,2023-08-02,08 14 16 22 24 09 12,"871,592,817.09","287,409,545",7,"65,272,438",79,"13,935,363",137,"1,370,000",675,"2,025,000","12,397","3,719,100","19,830","3,966,000","28,030","2,803,000","643,423","9,651,345","7,198,620","35,993,100"
23087,2023-07-31,03 04 16 19 24 04 05,"895,827,940.12","286,062,808",2,"20,000,000",114,"11,622,756",203,"2,030,000",757,"2,271,000","18,078","5,423,400","21,542","4,308,400","32,085","3,208,500","739,459","11,091,885","7,278,269","36,391,345"
23086,2023-07-29,03 11 15 20 35 07 11,"864,979,868.30","311,653,031",6,"60,000,000",54,"16,955,298",201,"2,010,000",469,"1,407,000","11,418","3,425,400","17,042","3,408,400","26,040","2,604,000","547,789","8,216,835","6,118,323","30,591,615"
23085,2023-07-26,11 12 26 31 35 05 07,"862,163,414.85","293,963,316",0,0,72,"11,913,768",226,"2,260,000",792,"2,376,000","17,133","5,139,900","31,689","6,337,800","33,898","3,389,800","881,096","13,216,440","8,786,177","43,930,885"
23084,2023-07-24,03 05 08 24 32 07 08,"809,598,278.97","290,429,825",3,"24,563,148",111,"11,204,007",191,"1,910,000",762,"2,286,000","17,308","5,192,400","25,855","5,171,000","30,271","3,027,100","780,120","11,701,800","7,940,967","39,704,835"
23083,2023-07-22,13 15 21 25 32 09 10,"790,074,141","317,082,009",8,"70,121,672",71,"16,119,911",259,"2,590,000",480,"1,440,000","14,584","4,375,200","17,236","3,447,200","41,633","4,163,300","610,951","9,164,265","6,760,169","33,800,845"
23082,2023-07-19,02 08 09 15 20 03 09,"827,085,116.17","299,141,777",5,"47,639,325",167,"8,908,949",355,"3,550,000","1,326","3,978,000","24,521","7,356,300","42,626","8,525,200","42,951","4,295,100","1,111,252","16,668,780","9,936,570","49,682,850"
23081,2023-07-17,05 06 23 28 35 07 10,"841,378,608.77","293,496,142",13,"93,615,665",140,"11,154,640",168,"1,680,000","1,127","3,381,000","19,632","5,889,600","32,181","6,436,200","37,036","3,703,600","867,944","13,019,160","8,381,282","41,906,410"
23080,2023-07-15,01 02 09 16 30 01 11,"899,395,409.69","319,156,762",2,"20,000,000",130,"14,726,140",347,"3,470,000",699,"2,097,000","17,963","5,388,900","23,624","4,724,800","43,594","4,359,400","777,066","11,655,990","7,843,381","39,216,905"
23079,2023-07-12,06 08 26 29 34 05 08,"860,725,831.35","297,882,990",5,"50,000,000",72,"12,984,120",133,"1,330,000",943,"2,829,000","13,501","4,050,300","28,086","5,617,200","25,259","2,525,900","711,350","10,670,250","7,393,826","36,969,130"
23078,2023-07-10,02 03 06 26 27 07 08,"846,788,540.97","290,049,087",8,"65,122,408",124,"10,812,304",261,"2,610,000",904,"2,712,000","19,949","5,984,700","28,182","5,636,400","40,470","4,047,000","868,837","13,032,555","8,556,625","42,783,125"
23077,2023-07-08,05 16 18 26 35 03 06,"880,499,424.63","310,865,876",13,"92,385,215",108,"12,237,912",160,"1,600,000","1,051","3,153,000","17,020","5,106,000","35,476","7,095,200","31,892","3,189,200","906,057","13,590,855","8,719,328","43,596,640"
23076,2023-07-05,08 09 11 26 34 02 07,"948,501,277.04","299,341,312",3,"30,000,000",100,"13,270,400",151,"1,510,000",779,"2,337,000","15,008","4,502,400","28,296","5,659,200","31,472","3,147,200","771,926","11,578,890","7,856,945","39,284,725"
23075,2023-07-03,07 17 20 23 32 05 11,"917,148,171.29","291,887,672",9,"65,895,606",172,"9,975,484",388,"3,880,000","1,659","4,977,000","30,829","9,248,700","39,051","7,810,200","59,995","5,999,500","1,014,657","15,219,855","8,590,833","42,954,165"
23074,2023-07-01,03 13 22 29 34 02 09,"959,326,220.29","317,553,672",4,"40,000,000",85,"15,587,300",225,"2,250,000",864,"2,592,000","17,633","5,289,900","25,394","5,078,800","39,424","3,942,400","773,577","11,603,655","7,864,543","39,322,715"
23073,2023-06-28,15 25 28 30 35 08 10,"940,619,193.45","300,986,764",4,"40,000,000",151,"11,651,462",360,"3,600,000",950,"2,850,000","24,701","7,410,300","22,929","4,585,800","53,691","5,369,100","808,449","12,126,735","7,899,930","39,499,650"
23072,2023-06-26,05 06 09 11 14 02 04,"932,426,488.55","303,438,691",3,"30,000,000",123,"12,722,013",318,"3,180,000",798,"2,394,000","18,445","5,533,500","22,209","4,441,800","43,427","4,342,700","766,368","11,495,520","7,756,674","38,783,370"
23071,2023-06-24,02 11 12 32 34 10 12,"901,185,515.05","317,016,133",4,"40,000,000",194,"14,046,182",439,"4,390,000",798,"2,394,000","25,888","7,766,400","24,293","4,858,600","55,865","5,586,500","829,227","12,438,405","8,020,634","40,103,170"
23070,2023-06-21,10 26 29 32 33 03 11,"896,500,867.52","299,252,381",7,"70,000,000",101,"13,560,058",222,"2,220,000",714,"2,142,000","19,500","5,850,000","24,886","4,977,200","42,284","4,228,400","829,761","12,446,415","8,087,869","40,439,345"
23069,2023-06-19,08 20 21 25 32 05 07,"908,523,228.30","295,437,282",2,"20,000,000",134,"13,035,118",295,"2,950,000",939,"2,817,000","21,949","6,584,700","25,024","5,004,800","45,677","4,567,700","867,561","13,013,415","8,205,041","41,025,205"
23068,2023-06-17,21 22 24 27 31 07 08,"874,858,098.72","323,126,932",7,"70,000,000",76,"14,717,400",162,"1,620,000",845,"2,535,000","14,076","4,222,800","29,309","5,861,800","26,365","2,636,500","796,319","11,944,785","8,579,349","42,896,745"
23067,2023-06-14,02 28 30 33 35 02 10,"877,298,736.71","306,580,086",2,"20,000,000",173,"11,740,645",127,"1,270,000",609,"1,827,000","12,484","3,745,200","23,691","4,738,200","26,427","2,642,700","698,918","10,483,770","7,865,662","39,328,310"
23066,2023-06-12,06 11 13 30 32 01 03,"846,071,268.24","311,912,224",3,"30,000,000",93,"17,072,103",371,"3,710,000",452,"1,356,000","13,312","3,993,600","14,244","2,848,800","43,828","4,382,800","533,409","8,001,135","6,050,055","30,250,275"
23065,2023-06-10,08 14 16 21 25 03 12,"807,401,652.03","326,869,150",1,"10,000,000",223,"17,076,894",491,"4,910,000",773,"2,319,000","17,744","5,323,200","19,131","3,826,200","58,829","5,882,900","691,495","10,372,425","7,587,044","37,935,220"
23064,2023-06-07,02 06 09 31 32 03 07,"747,516,040","306,244,331",8,"50,508,808",201,"9,362,580",238,"2,380,000","1,235","3,705,000","23,779","7,133,700","36,601","7,320,200","40,501","4,050,100","1,032,380","15,485,700","9,386,428","46,932,140"
23063,2023-06-05,04 18 29 31 34 06 09,"758,945,368.33","302,254,758",6,"40,547,118",91,"11,792,781",186,"1,860,000","1,198","3,594,000","17,479","5,243,700","38,251","7,650,200","33,378","3,337,800","932,048","13,980,720","9,127,999","45,639,995"
23062,2023-06-03,06 08 22 24 30 01 08,"758,202,286.81","326,064,748",6,"42,165,066",146,"14,265,076",284,"2,840,000",638,"1,914,000","17,183","5,154,900","21,895","4,379,000","41,421","4,142,100","726,551","10,898,265","7,435,591","37,177,955"
23061,2023-05-31,07 11 21 30 32 05 07,"750,108,293.03","309,303,838",1,"10,000,000",76,"14,721,352",292,"2,920,000",732,"2,196,000","14,282","4,284,600","20,305","4,061,000","30,466","3,046,600","632,970","9,494,550","6,797,530","33,987,650"
23060,2023-05-29,02 07 19 24 30 09 12,"688,684,878.15","310,894,364",20,"116,073,200",307,"7,033,677",530,"5,300,000","2,232","6,696,000","37,662","11,298,600","51,050","10,210,000","56,407","5,640,700","1,275,057","19,125,855","10,069,593","50,347,965"
23059,2023-05-27,09 13 23 25 28 04 07,"812,443,525.01","358,763,124",9,"65,314,782",198,"11,046,024",396,"3,960,000","1,664","4,992,000","27,291","8,187,300","49,200","9,840,000","52,387","5,238,700","1,196,006","17,940,090","10,500,525","52,502,625"
23058,2023-05-24,19 22 29 32 35 05 08,"872,966,224.60","363,828,515",8,"74,633,656",93,"15,249,675",182,"1,820,000",975,"2,925,000","16,853","5,055,900","28,301","5,660,200","34,811","3,481,100","842,822","12,642,330","8,558,092","42,790,460"
23057,2023-05-22,01 05 06 19 24 05 11,"903,873,949.54","344,889,264",8,"80,000,000",92,"15,233,084",241,"2,410,000",736,"2,208,000","17,114","5,134,200","21,406","4,281,200","48,523","4,852,300","706,725","10,600,875","7,430,486","37,152,430"
23056,2023-05-20,13 22 24 33 34 01 02,"920,035,696.74","398,657,811",3,"30,000,000",60,"20,819,220",166,"1,660,000",646,"1,938,000","11,499","3,449,700","19,109","3,821,800","30,610","3,061,000","578,861","8,682,915","6,534,442","32,672,210"
23055,2023-05-17,06 08 12 13 15 01 06,"856,791,468.88","350,342,112",5,"50,000,000",138,"14,253,468",265,"2,650,000","1,172","3,516,000","19,221","5,766,300","33,611","6,722,200","39,362","3,936,200","913,935","13,709,025","8,557,173","42,785,865"
23054,2023-05-15,19 25 30 31 34 07 09,"874,577,473.87","350,143,702",6,"60,000,000",197,"16,319,874",163,"1,630,000",800,"2,400,000","15,203","4,560,900","29,992","5,998,400","29,493","2,949,300","862,671","12,940,065","9,164,578","45,822,890"
23053,2023-05-13,01 03 11 14 20 02 11,"892,267,763.87","372,295,609",3,"30,000,000",90,"16,110,270",304,"3,040,000",876,"2,628,000","17,914","5,374,200","25,463","5,092,600","44,874","4,487,400","815,700","12,235,500","8,367,890","41,839,450"
23052,2023-05-10,02 08 11 30 33 05 08,"854,240,159.11","355,627,104",5,"50,000,000",82,"12,888,104",214,"2,140,000","1,143","3,429,000","14,720","4,416,000","40,433","8,086,600","30,482","3,048,200","949,925","14,248,875","10,117,200","50,586,000"
23051,2023-05-08,03 11 19 29 33 03 12,"859,364,126.46","349,432,627",21,"126,151,473","1,228","24,560,000",682,"6,820,000","1,577","4,731,000","54,727","16,418,100","34,734","6,946,800","61,474","6,147,400","1,249,653","18,744,795","8,987,557","44,937,785"
23050,2023-05-06,08 09 14 25 29 04 06,"1,005,750,816.44","375,710,449",5,"50,000,000",124,"13,771,068",260,"2,600,000","1,181","3,543,000","26,452","7,935,600","33,982","6,796,400","50,731","5,073,100","1,045,791","15,686,865","9,431,172","47,155,860"
23049,2023-05-03,03 17 22 26 28 07 12,"997,411,126.33","331,270,234",4,"40,000,000",99,"11,256,696",218,"2,180,000","1,319","3,957,000","20,312","6,093,600","44,077","8,815,400","43,725","4,372,500","1,008,218","15,123,270","9,243,772","46,218,860"
23048,2023-05-01,07 13 16 25 32 09 11,"994,472,934.30","313,990,124",2,"20,000,000",68,"15,552,280",174,"1,740,000",710,"2,130,000","14,255","4,276,500","17,630","3,526,000","30,249","3,024,900","568,787","8,531,805","6,164,973","30,824,865"
23047,2023-04-29,10 12 13 24 25 11 12,"952,628,083.51","362,544,707",6,"60,000,000",95,"16,569,140",379,"3,790,000",704,"2,112,000","13,902","4,170,600","20,575","4,115,000","36,027","3,602,700","653,447","9,801,705","7,337,303","36,686,515"
23046,2023-04-26,13 21 25 28 32 02 10,"948,200,742.09","352,135,852",0,0,43,"17,818,512",190,"1,900,000",644,"1,932,000","12,040","3,612,000","16,064","3,212,800","30,135","3,013,500","554,684","8,320,260","6,378,272","31,891,360"
23045,2023-04-24,07 10 13 28 31 04 05,"855,642,317.06","346,712,734",6,"60,000,000",170,"11,663,360",611,"6,110,000","1,115","3,345,000","28,187","8,456,100","28,882","5,776,400","68,221","6,822,100","950,168","14,252,520","8,833,820","44,169,100"
23044,2023-04-22,02 06 07 08 15 07 10,"868,495,061.73","378,830,462",5,"50,000,000",140,"13,805,120",287,"2,870,000","1,069","3,207,000","24,057","7,217,100","35,610","7,122,000","49,686","4,968,600","1,064,400","15,966,000","10,137,653","50,688,265"
23043,2023-04-19,02 04 17 20 27 01 08,"853,496,451.85","356,711,435",4,"40,000,000",126,"16,272,648",245,"2,450,000",564,"1,692,000","15,832","4,749,600","17,917","3,583,400","39,714","3,971,400","661,420","9,921,300","6,813,117","34,065,585"
23042,2023-04-17,02 16 21 23 27 01 08,"828,299,303.69","362,398,489",4,"35,303,052",90,"16,019,640",204,"2,040,000",877,"2,631,000","15,568","4,670,400","27,461","5,492,200","36,784","3,678,400","783,626","11,754,390","8,037,501","40,187,505"
23041,2023-04-15,05 08 13 26 35 05 09,"794,168,912.22","389,220,667",10,"91,139,360",167,"14,745,933",346,"3,460,000","1,443","4,329,000","23,444","7,033,200","37,602","7,520,400","43,950","4,395,000","984,248","14,763,720","9,438,238","47,191,190"
23040,2023-04-12,04 05 18 22 30 05 12,"827,601,739.51","369,110,639",10,"88,388,150",101,"16,502,188",221,"2,210,000",901,"2,703,000","16,486","4,945,800","23,580","4,716,000","36,565","3,656,500","728,914","10,933,710","7,614,053","38,070,265"
23039,2023-04-10,02 24 26 30 34 06 07,"869,785,636.84","368,190,696",2,"20,000,000",74,"17,111,834",168,"1,680,000",576,"1,728,000","13,468","4,040,400","19,223","3,844,600","30,631","3,063,100","683,909","10,258,635","7,699,238","38,496,190"
23038,2023-04-08,04 10 18 27 32 10 12,"806,289,674.33","311,720,942",2,"20,000,000",158,"13,797,982",491,"4,910,000",557,"1,671,000","20,328","6,098,400","17,974","3,594,800","54,229","5,422,900","684,008","10,260,120","7,167,660","35,838,300"
23037,2023-04-05,06 08 16 20 24 07 08,"768,030,435.90","284,657,775",5,"39,076,645",136,"12,300,520",190,"1,900,000",972,"2,916,000","17,947","5,384,100","28,008","5,601,600","31,679","3,167,900","792,474","11,887,110","7,648,470","38,242,350"
23036,2023-04-03,01 13 22 26 31 02 10,"752,208,151.04","285,032,829",10,"55,169,380",503,"10,060,000",650,"6,500,000","2,102","6,306,000","60,771","18,231,300","45,193","9,038,600","81,301","8,130,100","1,291,786","19,376,790","8,833,726","44,168,630"
23035,2023-04-01,07 14 23 25 29 02 11,"790,017,644.64","310,558,399",6,"59,879,088",238,"11,353,076",354,"3,540,000","1,080","3,240,000","32,576","9,772,800","33,484","6,696,800","59,666","5,966,600","1,081,289","16,219,335","9,395,979","46,979,895"
23034,2023-03-29,07 09 10 15 24 04 12,"803,285,352.70","287,732,716",5,"38,903,655",110,"11,914,540",297,"2,970,000",771,"2,313,000","20,939","6,281,700","22,364","4,472,800","52,264","5,226,400","778,298","11,674,470","7,706,476","38,532,380"
23033,2023-03-27,04 06 10 11 25 07 09,"787,964,749.81","289,373,837",4,"31,601,884",94,"12,117,446",295,"2,950,000","1,089","3,267,000","18,701","5,610,300","27,260","5,452,000","38,750","3,875,000","789,509","11,842,635","7,836,987","39,184,935"
23032,2023-03-25,05 06 18 28 30 02 07,"771,590,189.93","308,131,139",17,"106,900,131",133,"9,833,089",435,"4,350,000","1,615","4,845,000","23,812","7,143,600","46,055","9,211,000","55,441","5,544,100","1,056,014","15,840,210","9,988,825","49,944,125"
23031,2023-03-22,05 07 08 16 25 03 11,"861,440,447.46","287,302,404",6,"56,900,556",146,"12,352,768",272,"2,720,000",758,"2,274,000","19,877","5,963,100","24,869","4,973,800","51,475","5,147,500","802,481","12,037,215","7,902,896","39,514,480"
23030,2023-03-20,06 11 12 20 35 05 12,"880,358,984.23","291,586,529",5,"50,000,000",82,"13,686,456",173,"1,730,000",618,"1,854,000","14,374","4,312,200","21,514","4,302,800","30,708","3,070,800","664,353","9,965,295","6,959,005","34,795,025"
23029,2023-03-18,07 25 27 34 35 09 11,"873,738,106.45","309,186,270",0,0,79,"14,150,085",177,"1,770,000",734,"2,202,000","17,216","5,164,800","21,462","4,292,400","35,822","3,582,200","741,143","11,117,145","7,772,598","38,862,990"
23028,2023-03-15,01 03 29 30 34 04 12,"807,820,511.36","293,553,586",0,0,52,"15,577,068",141,"1,410,000",479,"1,437,000","10,407","3,122,100","16,517","3,303,400","23,457","2,345,700","544,238","8,163,570","6,075,828","30,379,140"
23027,2023-03-13,09 10 12 15 23 03 06,"734,749,840.59","288,212,889",5,"33,834,110",125,"9,487,500",260,"2,600,000","1,538","4,614,000","18,740","5,622,000","44,573","8,914,600","36,736","3,673,600","978,027","14,670,405","8,564,916","42,824,580"
23026,2023-03-11,02 13 24 27 30 01 06,"733,932,864.84","316,826,904",1,"10,000,000",90,"17,942,400",241,"2,410,000",674,"2,022,000","13,308","3,992,400","19,465","3,893,000","34,153","3,415,300","594,424","8,916,360","6,473,160","32,365,800"
23025,2023-03-08,03 09 27 30 31 11 12,"667,313,212.93","298,831,206",6,"41,505,324",105,"14,369,460",221,"2,210,000",654,"1,962,000","13,794","4,138,200","19,498","3,899,600","36,121","3,612,100","609,985","9,149,775","6,649,623","33,248,115"
23024,2023-03-06,11 15 24 27 30 01 10,"662,152,862.38","299,898,051",5,"39,623,055",111,"15,073,800",357,"3,570,000",643,"1,929,000","17,118","5,135,400","16,298","3,259,600","51,931","5,193,100","636,847","9,552,705","6,699,301","33,496,505"
23023,2023-03-04,09 21 23 25 33 03 10,"641,960,896.09","327,693,006",13,"82,800,523",47,"17,055,313",150,"1,500,000",623,"1,869,000","13,662","4,098,600","21,213","4,242,600","36,206","3,620,600","655,099","9,826,485","7,091,093","35,455,465"
23022,2023-03-01,07 11 15 26 28 08 10,"656,985,938.78","304,855,393",5,"35,806,430",224,"12,136,544",381,"3,810,000",971,"2,913,000","23,431","7,029,300","26,965","5,393,000","51,438","5,143,800","862,220","12,933,300","8,166,857","40,834,285"
23021,2023-02-27,02 09 18 23 27 03 05,"648,618,913.39","304,448,024",5,"33,689,625",264,"10,057,080",649,"6,490,000","1,060","3,180,000","33,904","10,171,200","27,061","5,412,200","77,872","7,787,200","963,998","14,459,970","8,865,482","44,327,410"
23020,2023-02-25,05 06 23 25 28 06 09,"648,355,013.37","323,977,748",13,"71,408,051",272,"6,834,000",323,"3,230,000","2,876","8,628,000","37,605","11,281,500","68,349","13,669,800","53,921","5,392,100","1,399,608","20,994,120","11,125,282","55,626,410"
23019,2023-02-22,05 08 09 11 15 06 08,"706,197,256.79","298,433,689",10,"59,482,780",131,"9,583,436",284,"2,840,000","1,550","4,650,000","25,084","7,525,200","40,553","8,110,600","47,103","4,710,300","1,072,901","16,093,515","9,460,543","47,302,715"
23018,2023-02-20,04 08 17 26 30 03 11,"732,297,153.78","297,501,654",3,"25,328,664",152,"13,239,960",410,"4,100,000",753,"2,259,000","18,479","5,543,700","20,586","4,117,200","52,978","5,297,800","673,707","10,105,605","7,033,216","35,166,080"
23017,2023-02-18,02 05 09 22 27 10 11,"709,369,027.01","325,814,136",30,"174,528,780",101,"14,534,102",333,"3,330,000",892,"2,676,000","20,865","6,259,500","25,479","5,095,800","51,220","5,122,000","864,792","12,971,880","9,009,491","45,047,455"
23016,2023-02-15,02 04 12 31 32 07 11,"929,208,065.35","294,344,609",11,"73,810,957",85,"11,399,435",160,"1,600,000","1,064","3,192,000","15,685","4,705,500","36,445","7,289,000","28,641","2,864,100","892,746","13,391,190","9,240,745","46,203,725"
23015,2023-02-13,08 16 24 25 34 08 12,"1,006,012,729.20","286,304,176",6,"52,452,378",70,"13,589,030",162,"1,620,000",624,"1,872,000","14,137","4,241,100","20,808","4,161,600","26,171","2,617,100","636,730","9,550,950","7,079,543","35,397,715"
23014,2023-02-11,03 08 18 22 24 01 09,"1,037,380,726.45","308,698,349",5,"50,000,000",156,"13,292,136",345,"3,450,000",933,"2,799,000","25,013","7,503,900","27,481","5,496,200","55,279","5,527,900","887,704","13,315,560","8,443,125","42,215,625"
23013,2023-02-08,01 02 09 23 25 02 06,"1,040,036,601.76","290,272,193",5,"50,000,000",89,"14,510,649",183,"1,830,000",636,"1,908,000","13,778","4,133,400","22,048","4,409,600","29,170","2,917,000","647,432","9,711,480","6,715,982","33,579,910"
23012,2023-02-06,07 16 17 18 28 02 03,"1,048,716,293.80","274,786,290",17,"105,667,801",136,"10,476,760",386,"3,860,000","1,340","4,020,000","22,469","6,740,700","31,143","6,228,600","51,150","5,115,000","787,177","11,807,655","7,217,126","36,085,630"
23011,2023-02-04,02 07 08 17 25 01 03,"1,156,695,738.61","297,936,990",4,"40,000,000",155,"12,328,700",352,"3,520,000",636,"1,908,000","21,411","6,423,300","17,481","3,496,200","57,804","5,780,400","739,473","11,092,095","7,380,781","36,903,905"
23010,2023-02-01,05 06 13 23 26 01 06,"1,144,740,863.03","272,385,898",7,"56,834,925",377,"7,722,468","1,628","16,280,000",740,"2,220,000","28,604","8,581,200","16,227","3,245,400","139,563","13,956,300","682,780","10,241,700","7,054,928","35,274,640"
23009,2023-01-30,01 05 11 15 33 01 10,"1,167,513,305.02","288,306,205",3,"30,000,000",89,"14,880,800",243,"2,430,000",647,"1,941,000","17,571","5,271,300","20,003","4,000,600","44,049","4,404,900","696,601","10,449,015","7,202,606","36,013,030"
23008,2023-01-18,04 09 17 22 25 01 05,"1,153,640,352.57","322,639,161",11,"73,357,867",243,"9,024,048",483,"4,830,000","1,516","4,548,000","35,844","10,753,200","43,229","8,645,800","55,260","5,526,000","1,372,160","20,582,400","10,628,175","53,140,875"
23007,2023-01-16,02 03 24 30 32 01 06,"1,214,621,616.68","270,298,202",2,"20,000,000",48,"16,268,592",126,"1,260,000",402,"1,206,000","9,133","2,739,900","15,484","3,096,800","24,006","2,400,600","477,105","7,156,575","5,416,156","27,080,780"
23006,2023-01-14,02 04 12 27 35 06 07,"1,166,367,354.78","286,730,809",2,"20,000,000",123,"11,491,521",183,"1,830,000",907,"2,721,000","18,548","5,564,400","29,764","5,952,800","33,491","3,349,100","873,354","13,100,310","8,363,313","41,816,565"
23005,2023-01-11,01 03 10 20 29 06 11,"1,150,759,496.08","271,728,892",5,"50,000,000",113,"9,455,727",223,"2,230,000","1,370","4,110,000","20,911","6,273,300","36,584","7,316,800","40,042","4,004,200","886,293","13,294,395","7,970,600","39,853,000"
23004,2023-01-09,04 13 15 20 22 04 08,"1,157,028,435.66","258,433,073",3,"30,000,000",106,"10,625,970",194,"1,940,000",845,"2,535,000","17,799","5,339,700","28,885","5,777,000","34,663","3,466,300","768,054","11,520,810","7,363,531","36,817,655"
23003,2023-01-07,05 06 14 21 22 02 09,"1,140,824,557.86","281,549,083",6,"60,000,000",96,"12,613,920",200,"2,000,000",704,"2,112,000","14,445","4,333,500","21,690","4,338,000","32,372","3,237,200","616,323","9,244,845","6,389,060","31,945,300"
23002,2023-01-04,11 14 21 26 27 02 07,"1,153,840,957.44","255,061,637",3,"30,000,000",48,"13,560,864",167,"1,670,000",572,"1,716,000","11,125","3,337,500","18,676","3,735,200","26,230","2,623,000","529,942","7,949,130","5,585,218","27,926,090"
23001,2023-01-02,18 19 24 27 34 11 12,"1,124,542,797.38","244,595,607",0,0,64,"12,236,544",189,"1,890,000",645,"1,935,000","12,711","3,813,300","16,890","3,378,000","38,807","3,880,700","536,413","8,046,195","5,754,607","28,773,035"
22150,2022-12-31,06 07 26 29 30 03 12,"1,071,397,015.78","267,131,944",4,"40,000,000",117,"12,292,956",263,"2,630,000",630,"1,890,000","16,567","4,970,100","18,918","3,783,600","44,392","4,439,200","656,353","9,845,295","6,740,890","33,704,450"
22149,2022-12-28,15 19 22 26 28 02 07,"1,073,084,049.88","227,015,437",7,"59,917,732",46,"10,124,370",340,"3,400,000",508,"1,524,000","8,790","2,637,000","19,984","3,996,800","22,622","2,262,200","537,433","8,061,495","5,625,927","28,129,635"
22148,2022-12-26,04 05 06 26 27 07 12,"1,098,940,648.32","222,561,477",6,"48,556,728",138,"7,717,512",165,"1,650,000",753,"2,259,000","14,291","4,287,300","23,459","4,691,800","29,715","2,971,500","654,099","9,811,485","6,285,039","31,425,195"
22147,2022-12-24,04 12 22 28 30 09 11,"1,126,392,172.08","242,212,561",2,"20,000,000",95,"11,354,495",239,"2,390,000",626,"1,878,000","12,194","3,658,200","15,581","3,116,200","30,039","3,003,900","534,446","8,016,690","5,351,098","26,755,490"
22146,2022-12-21,01 21 23 28 35 07 09,"1,091,896,945.67","226,981,538",1,"10,000,000",29,"12,340,341",109,"1,090,000",458,"1,374,000","7,760","2,328,000","12,793","2,558,600","17,828","1,782,800","413,483","6,202,245","4,863,784","24,318,920"
22145,2022-12-19,10 20 29 30 35 06 09,"1,054,075,162.55","235,282,028",5,"41,140,075",141,"7,710,444",299,"2,990,000","1,105","3,315,000","18,436","5,530,800","29,568","5,913,600","38,752","3,875,200","718,727","10,780,905","7,021,612","35,108,060"
22144,2022-12-17,03 04 08 15 21 04 07,"1,077,698,266.51","254,622,809",5,"48,664,505",111,"9,701,067",327,"3,270,000","1,001","3,003,000","17,867","5,360,100","28,224","5,644,800","46,706","4,670,600","764,734","11,471,010","7,288,801","36,444,005"
22143,2022-12-14,10 13 14 27 33 07 08,"1,091,325,801.32","250,946,991",3,"30,000,000",121,"10,562,211",254,"2,540,000",699,"2,097,000","15,609","4,682,700","19,013","3,802,600","33,804","3,380,400","628,516","9,427,740","6,376,424","31,882,120"
22142,2022-12-12,07 12 14 29 35 01 11,"1,078,507,658.16","261,964,327",2,"20,000,000",83,"12,431,989",152,"1,520,000",493,"1,479,000","12,671","3,801,300","16,211","3,242,200","28,295","2,829,500","564,137","8,462,055","6,182,208","30,911,040"
22141,2022-12-10,05 06 14 24 25 02 04,"1,047,136,066.48","280,927,317",0,0,114,"13,333,668",256,"2,560,000",668,"2,004,000","17,042","5,112,600","18,507","3,701,400","37,299","3,729,900","620,735","9,311,025","6,212,659","31,063,295"
22140,2022-12-07,05 15 25 26 29 04 12,"984,601,777.52","263,913,540",7,"58,901,864",111,"13,227,204",308,"3,080,000",814,"2,442,000","17,619","5,285,700","17,207","3,441,400","42,728","4,272,800","617,321","9,259,815","6,375,808","31,879,040"
22139,2022-12-05,01 13 14 22 35 02 05,"1,016,097,851.23","249,420,144",2,"20,000,000",85,"13,692,225",126,"1,260,000",636,"1,908,000","11,527","3,458,100","21,543","4,308,600","22,475","2,247,500","594,892","8,923,380","6,520,165","32,600,825"
